component,US-EU,JP-REV0,JP-REVA,KR-REV0,DE-REV0,FR-REV0,IT-REV0,ES-REV0
header,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
vblank,0x0150,0x0150,0x0150,0x0150,0x0150,0x0150,0x0150,0x0150
delay,0x032E,0x032E,0x032E,0x032E,0x032E,0x032E,0x032E,0x032E
time_palettes,0x0343,0x0343,0x0343,0x0343,0x0343,0x0343,0x0343,0x0343
fade,0x0360,0x0360,0x0360,0x0360,0x0360,0x0360,0x0360,0x0360
lcd,0x041B,0x041B,0x041B,0x041B,0x041B,0x041B,0x041B,0x041B
time,0x045B,0x045B,0x045B,0x045F,0x045B,0x045B,0x045B,0x045B
init,0x05B0,0x05AF,0x05AF,0x05B4,0x05B0,0x05B0,0x05B0,0x05B0
serial,0x06AA,0x06A9,0x06A9,0x0698,0x06AA,0x06AA,0x06AA,0x06AA
joypad,0x08DF,0x08DE,0x08DE,0x08D2,0x08DF,0x08DF,0x08DF,0x08DF
decompress,0x0AF0,0x0AD9,0x0AD9,0x0AE3,0x0AF0,0x0AF0,0x0AF0,0x0AF0
palettes,0x0BDF,0x0BC8,0x0BC8,0x0BD2,0x0BDF,0x0BDF,0x0BDF,0x0BDF
gfx,0x0D70,0x0D59,0x0D59,0x0D6E,0x0D70,0x0D70,0x0D70,0x0D70
text,0x0EBD,0x0E8F,0x0E8F,0x0ECF,0x0EBD,0x0EBD,0x0EBD,0x0EBD
video,0x1458,0x142D,0x142D,0x153F,0x147C,0x1461,0x1476,0x1475
map_objects,0x169C,0x1649,0x1649,0x16EF,0x16C0,0x16A5,0x16BA,0x16B9
sine,0x19AC,0x1959,0x1959,0x19FF,0x19D0,0x19B5,0x19CA,0x19C9
movement,0x19BB,0x1968,0x1968,0x1A0E,0x19DF,0x19C4,0x19D9,0x19D8
menu,0x1A4E,0x19FB,0x19FB,0x1AA1,0x1A72,0x1A57,0x1A6C,0x1A6B
printer,0x1EB3,0x1E60,0x1E60,0x1F10,0x1EE0,0x1EC5,0x1ED8,0x1ED7
game_time,0x1EE6,0x1E93,0x1E93,0x1F43,0x1F13,0x1EF8,0x1F0B,0x1F0A
map,0x1F5D,0x1F0A,0x1F0A,0x1FBA,0x1F8A,0x1F6F,0x1F82,0x1F81
farcall,0x2E27,0x2DE3,0x2DE3,0x2EAE,0x2E54,0x2E39,0x2E4C,0x2E4B
predef,0x2E49,0x2E05,0x2E05,0x2ED0,0x2E76,0x2E5B,0x2E6E,0x2E6D
window,0x2E80,0x2E3C,0x2E3C,0x2F07,0x2EAD,0x2E92,0x2EA5,0x2EA4
flag,0x2F2F,0x2EEB,0x2EEB,0x2FB6,0x2F5C,0x2F41,0x2F54,0x2F53
sprite_updates,0x2F93,0x2F4F,0x2F4F,0x301A,0x2FC0,0x2FA5,0x2FB8,0x2FB7
string,0x2FB6,0x2F72,0x2F72,0x303D,0x2FE3,0x2FC8,0x2FDB,0x2FDA
region,0x2FD7,0x2F93,0x2F93,0x3070,0x3004,0x2FE9,0x2FFC,0x2FFB
item,0x3055,0x3011,0x3011,0x30EE,0x3082,0x3067,0x307A,0x3079
random,0x30A2,0x305E,0x305E,0x313B,0x30CF,0x30B4,0x30C7,0x30C6
sram,0x30E1,0x309D,0x309D,0x317A,0x310E,0x30F3,0x3106,0x3105
call_regs,0x30FC,0x30B8,0x30B8,0x31A4,0x3129,0x310E,0x3121,0x3120
clear_sprites,0x30FF,0x30BB,0x30BB,0x31A7,0x312C,0x3111,0x3124,0x3123
copy,0x311A,0x30D6,0x30D6,0x31C2,0x3147,0x312C,0x313F,0x313E
copy_tilemap,0x3158,0x3114,0x3114,0x3200,0x3185,0x316A,0x317D,0x317C
copy_name,0x317B,0x3137,0x3137,0x3219,0x31A8,0x318D,0x31A0,0x319F
array,0x3186,0x3142,0x3142,0x3224,0x31B3,0x3198,0x31AB,0x31AA
math,0x31A3,0x315F,0x315F,0x3241,0x31D0,0x31B5,0x31C8,0x31C7
print_text,0x31E2,0x319E,0x319E,0x3280,0x320F,0x31F4,0x3207,0x3206
queue_script,0x3423,0x3385,0x3385,0x3490,0x341A,0x33CE,0x3412,0x33E0
compare,0x3431,0x3393,0x3393,0x349E,0x3428,0x33DC,0x3420,0x33EE
tilemap,0x3449,0x33AB,0x33AB,0x34B6,0x3440,0x33F4,0x3438,0x3406
pokedex_flags,0x35C3,0x3525,0x3525,0x3598,0x35BA,0x356E,0x35B2,0x3580
names,0x35EE,0x3550,0x3550,0x35C3,0x35E5,0x3599,0x35DD,0x35AB
scrolling_menu,0x3751,0x36B5,0x36B5,0x373A,0x3748,0x36FC,0x3740,0x370E
stone_queue,0x37AC,0x3710,0x3710,0x3795,0x37A3,0x3757,0x379B,0x3769
trainers,0x3844,0x37A8,0x37A8,0x382D,0x383B,0x37EF,0x3833,0x3801
pokemon,0x3984,0x38E8,0x38E8,0x396D,0x397B,0x392F,0x3973,0x3941
print_bcd,0x3ADE,0x3A42,0x3A42,0x3AC7,0x3AD5,0x3A89,0x3ACD,0x3A9B
battle,0x3B3A,0x3A7D,0x3A7D,0x3B07,0x3B31,0x3AC9,0x3B29,0x3ADB
sprite_anims,0x3D2B,0x3C4C,0x3C4C,0x3CF6,0x3D22,0x3CBA,0x3D1A,0x3CCC
audio,0x3D4F,0x3C70,0x3C70,0x3D1A,0x3D46,0x3CDE,0x3D3E,0x3CF0
