release_a,release_b,size_a,size_b,byte_identical,same_length,matching_bytes,sequence_ratio,replace_spans,insert_spans,delete_spans
US-EU,JP-REV0,3786,3801,no,no,3104,0.818242,541,0,1
US-EU,JP-REVA,3786,3801,no,no,3104,0.818242,541,0,1
US-EU,KR-REV0,3786,3828,no,no,2921,0.767271,521,2,3
US-EU,DE-REV0,3786,3786,no,yes,3520,0.929741,211,0,0
US-EU,FR-REV0,3786,3786,no,yes,3552,0.938193,209,0,0
US-EU,IT-REV0,3786,3786,no,yes,3525,0.931062,211,0,0
US-EU,ES-REV0,3786,3786,no,yes,3526,0.931326,210,1,1
JP-REV0,JP-REVA,3801,3801,yes,yes,3801,1.000000,0,0,0
JP-REV0,KR-REV0,3801,3828,no,no,2806,0.735614,536,3,5
JP-REV0,DE-REV0,3801,3786,no,no,3051,0.804270,540,1,1
JP-REV0,FR-REV0,3801,3786,no,no,3089,0.814288,535,2,3
JP-REV0,IT-REV0,3801,3786,no,no,3056,0.805589,540,1,1
JP-REV0,ES-REV0,3801,3786,no,no,3055,0.805325,529,6,6
JP-REVA,KR-REV0,3801,3828,no,no,2806,0.735614,536,3,5
JP-REVA,DE-REV0,3801,3786,no,no,3051,0.804270,540,1,1
JP-REVA,FR-REV0,3801,3786,no,no,3089,0.814288,535,2,3
JP-REVA,IT-REV0,3801,3786,no,no,3056,0.805589,540,1,1
JP-REVA,ES-REV0,3801,3786,no,no,3055,0.805325,529,6,6
KR-REV0,DE-REV0,3828,3786,no,no,2959,0.777252,528,0,2
KR-REV0,FR-REV0,3828,3786,no,no,2941,0.772524,536,0,1
KR-REV0,IT-REV0,3828,3786,no,no,2952,0.775414,525,1,3
KR-REV0,ES-REV0,3828,3786,no,no,2970,0.780142,533,1,3
DE-REV0,FR-REV0,3786,3786,no,yes,3541,0.935288,195,2,0
DE-REV0,IT-REV0,3786,3786,no,yes,3554,0.938722,202,2,1
DE-REV0,ES-REV0,3786,3786,no,yes,3570,0.942948,208,0,0
FR-REV0,IT-REV0,3786,3786,no,yes,3543,0.935816,205,0,2
FR-REV0,ES-REV0,3786,3786,no,yes,3542,0.935552,206,0,0
IT-REV0,ES-REV0,3786,3786,no,yes,3583,0.946381,203,0,0
