component,us_opcode_count,JP0_opcode_identical,JPA_opcode_identical,KR_opcode_identical,DE_opcode_identical,FR_opcode_identical,IT_opcode_identical,ES_opcode_identical,JP0_opcode_count,JPA_opcode_count,KR_opcode_count,DE_opcode_count,FR_opcode_count,IT_opcode_count,ES_opcode_count
vblank,245,no,no,yes,yes,yes,yes,yes,246,246,245,245,245,245,245
delay,12,yes,yes,yes,yes,yes,yes,yes,12,12,12,12,12,12,12
time_palettes,15,yes,yes,yes,yes,yes,yes,yes,15,15,15,15,15,15,15
fade,119,yes,yes,yes,yes,yes,yes,yes,119,119,119,119,119,119,119
lcd,41,yes,yes,no,yes,yes,yes,yes,41,41,43,41,41,41,41
time,177,no,no,yes,yes,yes,yes,yes,176,176,177,177,177,177,177
init,124,yes,yes,no,yes,yes,yes,yes,124,124,112,124,124,124,124
serial,303,yes,yes,no,yes,yes,yes,yes,303,303,306,303,303,303,303
joypad,301,no,no,yes,yes,yes,yes,yes,289,289,301,301,301,301,301
decompress,157,yes,yes,yes,yes,yes,yes,yes,157,157,157,157,157,157,157
palettes,255,yes,yes,no,yes,yes,yes,yes,255,255,262,255,255,255,255
gfx,203,no,no,no,yes,yes,yes,yes,186,186,213,203,203,203,203
text,855,no,no,no,no,no,no,no,829,829,1006,884,868,882,876
video,419,no,no,no,yes,yes,yes,yes,394,394,311,419,419,419,419
map_objects,497,yes,yes,yes,yes,yes,yes,yes,497,497,497,497,497,497,497
sine,10,yes,yes,yes,yes,yes,yes,yes,10,10,10,10,10,10,10
movement,98,yes,yes,yes,yes,yes,yes,yes,98,98,98,98,98,98,98
menu,631,no,no,no,no,no,no,no,629,629,645,636,637,634,634
printer,30,yes,yes,yes,yes,yes,yes,yes,30,30,30,30,30,30,30
game_time,67,yes,yes,yes,yes,yes,yes,yes,67,67,67,67,67,67,67
map,2124,no,no,no,no,no,no,no,2136,2136,2159,2124,2122,2124,2121
farcall,19,yes,yes,yes,yes,yes,yes,yes,19,19,19,19,19,19,19
predef,31,yes,yes,yes,yes,yes,yes,yes,31,31,31,31,31,31,31
window,94,yes,yes,yes,yes,yes,yes,yes,94,94,94,94,94,94,94
flag,64,yes,yes,yes,yes,yes,yes,yes,64,64,64,64,64,64,64
sprite_updates,16,yes,yes,yes,yes,yes,yes,yes,16,16,16,16,16,16,16
string,23,yes,yes,no,yes,yes,yes,yes,23,23,33,23,23,23,23
region,77,yes,yes,yes,yes,yes,yes,yes,77,77,77,77,77,77,77
item,59,yes,yes,yes,yes,yes,yes,yes,59,59,59,59,59,59,59
random,42,yes,yes,yes,yes,yes,yes,yes,42,42,42,42,42,42,42
sram,14,yes,yes,no,yes,yes,yes,yes,14,14,21,14,14,14,14
call_regs,3,yes,yes,yes,yes,yes,yes,yes,3,3,3,3,3,3,3
clear_sprites,16,yes,yes,yes,yes,yes,yes,yes,16,16,16,16,16,16,16
copy,42,yes,yes,yes,yes,yes,yes,yes,42,42,42,42,42,42,42
copy_tilemap,14,yes,yes,no,yes,yes,yes,yes,14,14,14,14,14,14,14
copy_name,7,yes,yes,yes,yes,yes,yes,yes,7,7,7,7,7,7,7
array,21,yes,yes,yes,yes,yes,yes,yes,21,21,21,21,21,21,21
math,51,yes,yes,yes,yes,yes,yes,yes,51,51,51,51,51,51,51
print_text,341,no,no,no,no,no,no,no,288,288,313,305,277,305,277
queue_script,7,yes,yes,yes,yes,yes,yes,yes,7,7,7,7,7,7,7
compare,21,yes,yes,yes,yes,yes,yes,yes,21,21,21,21,21,21,21
tilemap,240,yes,yes,no,yes,yes,yes,yes,240,240,127,240,240,240,240
pokedex_flags,23,yes,yes,yes,yes,yes,yes,yes,23,23,23,23,23,23,23
names,220,no,no,no,no,no,no,no,213,213,230,220,220,216,220
scrolling_menu,48,yes,yes,yes,yes,yes,yes,yes,48,48,48,48,48,48,48
stone_queue,103,yes,yes,yes,yes,yes,yes,yes,103,103,103,103,103,103,103
trainers,182,yes,yes,yes,yes,yes,yes,yes,182,182,182,182,182,182,182
pokemon,207,yes,yes,yes,yes,yes,yes,yes,207,207,207,207,207,207,207
print_bcd,52,no,no,no,yes,no,yes,no,34,34,37,52,37,52,37
battle,308,no,no,no,no,no,no,no,288,288,303,308,306,308,304
sprite_anims,20,yes,yes,yes,yes,yes,yes,yes,20,20,20,20,20,20,20
audio,389,no,no,no,no,no,no,no,523,612,442,398,502,406,484
