release_a,release_b,differing_bytes,bank_size,different_percent
JP-REV0,JP-REVA,179,16384,1.0925
JP-REV0,KR-REV0,15044,16384,91.8213
JP-REV0,US-EU-REV0,14938,16384,91.1743
JP-REV0,DE-REV0,14918,16384,91.0522
JP-REV0,FR-REV0,14924,16384,91.0889
JP-REV0,IT-REV0,14932,16384,91.1377
JP-REV0,ES-REV0,14852,16384,90.6494
JP-REVA,KR-REV0,15053,16384,91.8762
JP-REVA,US-EU-REV0,14936,16384,91.1621
JP-REVA,DE-REV0,14922,16384,91.0767
JP-REVA,FR-REV0,14860,16384,90.6982
JP-REVA,IT-REV0,14925,16384,91.0950
JP-REVA,ES-REV0,14808,16384,90.3809
KR-REV0,US-EU-REV0,14819,16384,90.4480
KR-REV0,DE-REV0,14971,16384,91.3757
KR-REV0,FR-REV0,14979,16384,91.4246
KR-REV0,IT-REV0,14947,16384,91.2292
KR-REV0,ES-REV0,14946,16384,91.2231
US-EU-REV0,DE-REV0,11991,16384,73.1873
US-EU-REV0,FR-REV0,11944,16384,72.9004
US-EU-REV0,IT-REV0,11943,16384,72.8943
US-EU-REV0,ES-REV0,12070,16384,73.6694
DE-REV0,FR-REV0,12014,16384,73.3276
DE-REV0,IT-REV0,11579,16384,70.6726
DE-REV0,ES-REV0,10921,16384,66.6565
FR-REV0,IT-REV0,11951,16384,72.9431
FR-REV0,ES-REV0,11802,16384,72.0337
IT-REV0,ES-REV0,11857,16384,72.3694
