component,start_hex,end_hex,length,reference
header,0x0000,0x0150,336,pret/pokegold pokesilver.sym (symbols branch)
vblank,0x0150,0x032E,478,pret/pokegold pokesilver.sym (symbols branch)
delay,0x032E,0x0343,21,pret/pokegold pokesilver.sym (symbols branch)
time_palettes,0x0343,0x0360,29,pret/pokegold pokesilver.sym (symbols branch)
fade,0x0360,0x041B,187,pret/pokegold pokesilver.sym (symbols branch)
lcd,0x041B,0x045B,64,pret/pokegold pokesilver.sym (symbols branch)
time,0x045B,0x05B0,341,pret/pokegold pokesilver.sym (symbols branch)
init,0x05B0,0x06AA,250,pret/pokegold pokesilver.sym (symbols branch)
serial,0x06AA,0x08DF,565,pret/pokegold pokesilver.sym (symbols branch)
joypad,0x08DF,0x0AF0,529,pret/pokegold pokesilver.sym (symbols branch)
decompress,0x0AF0,0x0BDF,239,pret/pokegold pokesilver.sym (symbols branch)
palettes,0x0BDF,0x0D70,401,pret/pokegold pokesilver.sym (symbols branch)
gfx,0x0D70,0x0EBD,333,pret/pokegold pokesilver.sym (symbols branch)
text,0x0EBD,0x1458,1435,pret/pokegold pokesilver.sym (symbols branch)
video,0x1458,0x169C,580,pret/pokegold pokesilver.sym (symbols branch)
map_objects,0x169C,0x19AC,784,pret/pokegold pokesilver.sym (symbols branch)
sine,0x19AC,0x19BB,15,pret/pokegold pokesilver.sym (symbols branch)
movement,0x19BB,0x1A4E,147,pret/pokegold pokesilver.sym (symbols branch)
menu,0x1A4E,0x1EB3,1125,pret/pokegold pokesilver.sym (symbols branch)
printer,0x1EB3,0x1EE6,51,pret/pokegold pokesilver.sym (symbols branch)
game_time,0x1EE6,0x1F5D,119,pret/pokegold pokesilver.sym (symbols branch)
map,0x1F5D,0x2E27,3786,pret/pokegold pokesilver.sym (symbols branch)
farcall,0x2E27,0x2E49,34,pret/pokegold pokesilver.sym (symbols branch)
predef,0x2E49,0x2E80,55,pret/pokegold pokesilver.sym (symbols branch)
window,0x2E80,0x2F2F,175,pret/pokegold pokesilver.sym (symbols branch)
flag,0x2F2F,0x2F93,100,pret/pokegold pokesilver.sym (symbols branch)
sprite_updates,0x2F93,0x2FB6,35,pret/pokegold pokesilver.sym (symbols branch)
string,0x2FB6,0x2FD7,33,pret/pokegold pokesilver.sym (symbols branch)
region,0x2FD7,0x3055,126,pret/pokegold pokesilver.sym (symbols branch)
item,0x3055,0x30A2,77,pret/pokegold pokesilver.sym (symbols branch)
random,0x30A2,0x30E1,63,pret/pokegold pokesilver.sym (symbols branch)
sram,0x30E1,0x30FC,27,pret/pokegold pokesilver.sym (symbols branch)
call_regs,0x30FC,0x30FF,3,pret/pokegold pokesilver.sym (symbols branch)
clear_sprites,0x30FF,0x311A,27,pret/pokegold pokesilver.sym (symbols branch)
copy,0x311A,0x3158,62,pret/pokegold pokesilver.sym (symbols branch)
copy_tilemap,0x3158,0x317B,35,pret/pokegold pokesilver.sym (symbols branch)
copy_name,0x317B,0x3186,11,pret/pokegold pokesilver.sym (symbols branch)
array,0x3186,0x31A3,29,pret/pokegold pokesilver.sym (symbols branch)
math,0x31A3,0x31E2,63,pret/pokegold pokesilver.sym (symbols branch)
print_text,0x31E2,0x3423,577,pret/pokegold pokesilver.sym (symbols branch)
queue_script,0x3423,0x3431,14,pret/pokegold pokesilver.sym (symbols branch)
compare,0x3431,0x3449,24,pret/pokegold pokesilver.sym (symbols branch)
tilemap,0x3449,0x35C3,378,pret/pokegold pokesilver.sym (symbols branch)
pokedex_flags,0x35C3,0x35EE,43,pret/pokegold pokesilver.sym (symbols branch)
names,0x35EE,0x3751,355,pret/pokegold pokesilver.sym (symbols branch)
scrolling_menu,0x3751,0x37AC,91,pret/pokegold pokesilver.sym (symbols branch)
stone_queue,0x37AC,0x3844,152,pret/pokegold pokesilver.sym (symbols branch)
trainers,0x3844,0x3984,320,pret/pokegold pokesilver.sym (symbols branch)
pokemon,0x3984,0x3ADE,346,pret/pokegold pokesilver.sym (symbols branch)
print_bcd,0x3ADE,0x3B3A,92,pret/pokegold pokesilver.sym (symbols branch)
battle,0x3B3A,0x3D2B,497,pret/pokegold pokesilver.sym (symbols branch)
sprite_anims,0x3D2B,0x3D4F,36,pret/pokegold pokesilver.sym (symbols branch)
audio,0x3D4F,0x4000,689,pret/pokegold pokesilver.sym (symbols branch)
