bank,file_start,file_end,cpu_start,cpu_end,classification,status,confidence,source_sha256,notes
0x00,0x000000,0x003fff,0x0000,0x3fff,header-and-code,fingerprinted,high,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=9ab9912c96e422864a3de70459580c556b72f3f42affcef64a3a3b22f99bacb0; entropy=7.012638; unique_bytes=256; zero_bytes=701; ff_bytes=106
0x01,0x004000,0x007fff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=13ab2efdae232923df7f112f485923bbbeab548e3cd5101a7be56a6985758cdd; entropy=6.888612; unique_bytes=256; zero_bytes=1714; ff_bytes=105
0x02,0x008000,0x00bfff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=738732a785122d21a3171e3049432ab316f5c81efe0c50c23a4873634bbdd0ae; entropy=6.567769; unique_bytes=255; zero_bytes=2930; ff_bytes=595
0x03,0x00c000,0x00ffff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=05092bfaf091331c7683f5d4c01d3211fef65d946106d29c21b64c0018690bb7; entropy=7.152285; unique_bytes=255; zero_bytes=564; ff_bytes=132
0x04,0x010000,0x013fff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=f1b193e05d351b5d9a442e36aaf0484a1d9b349d5c073fafacc1d07054ae0051; entropy=7.047952; unique_bytes=256; zero_bytes=855; ff_bytes=788
0x05,0x014000,0x017fff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=755be7425e0658115d69bdfd63669a7eabbd7fe6110041db2cb77236145ba744; entropy=7.205838; unique_bytes=256; zero_bytes=654; ff_bytes=322
0x06,0x018000,0x01bfff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=5700c5ecee7d99cb9f82f5219512d88d2800ea4510fda27d40139535a79897c8; entropy=6.492214; unique_bytes=256; zero_bytes=1386; ff_bytes=351
0x07,0x01c000,0x01ffff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=3ff01f0be31579d1c7369e057880fbfe0d0bc7af3bfab93e22762d662f9a3be5; entropy=6.566044; unique_bytes=256; zero_bytes=1633; ff_bytes=873
0x08,0x020000,0x023fff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=f2fb50323c647a7be1ae6d154772b925f09f01f63b3dbdf0f3135542a7d9d8b8; entropy=6.583655; unique_bytes=256; zero_bytes=2005; ff_bytes=1276
0x09,0x024000,0x027fff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=8242b150fc8a53183d65e2786b5108a9170edaa3765d4b7511fcdf4cdbb1ef92; entropy=7.184699; unique_bytes=256; zero_bytes=1059; ff_bytes=370
0x0a,0x028000,0x02bfff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=ee88305cb2251f1ea36dfc0f019db784d9b90c7c8d9144e42a0dd93bace29e92; entropy=7.087601; unique_bytes=252; zero_bytes=567; ff_bytes=111
0x0b,0x02c000,0x02ffff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=9d1a761dd682d7696e7c0d1a620f70a08006d6035fb7c77b21977474920efcf9; entropy=6.766523; unique_bytes=254; zero_bytes=991; ff_bytes=17
0x0c,0x030000,0x033fff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=a22dd0b839a1b26e85c6e53a9fec54b54a4ca0fbacb226fa127359a263736d47; entropy=6.468876; unique_bytes=256; zero_bytes=2238; ff_bytes=788
0x0d,0x034000,0x037fff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=7c36d5d13bc52a70bca0b1882196389f19f617c36ec16bd9ca6ea4b73caa2651; entropy=6.893532; unique_bytes=256; zero_bytes=179; ff_bytes=99
0x0e,0x038000,0x03bfff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=d71a1e09d9cd038428dd55e2beca350a8149caef05488695b8f72640ecb71942; entropy=7.329174; unique_bytes=256; zero_bytes=931; ff_bytes=519
0x0f,0x03c000,0x03ffff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=cf6b891cb0b48bd49c7a6d54027be9594d178e5b4f1d60637fe7d38662c1ac94; entropy=7.038553; unique_bytes=256; zero_bytes=381; ff_bytes=143
0x10,0x040000,0x043fff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=27f9208987e5dc61dbc062bc96858d2639fa822836cb74e75eec1f3f4b834917; entropy=7.305549; unique_bytes=256; zero_bytes=1144; ff_bytes=309
0x11,0x044000,0x047fff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=f9c1118d4c234e3e0b7e612c469f763fe36de0fc2d7eb79a6c37874e82646840; entropy=6.805769; unique_bytes=255; zero_bytes=377; ff_bytes=14
0x12,0x048000,0x04bfff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=cbaae0de4e4a18341c857b07e72194a4e98316578dea2e25b316fae14d41222d; entropy=7.258782; unique_bytes=256; zero_bytes=624; ff_bytes=827
0x13,0x04c000,0x04ffff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=451dcf6ab45ef4a8708d5d30aa236c748070480bf532df85e769363df97994d6; entropy=6.954328; unique_bytes=255; zero_bytes=1142; ff_bytes=318
0x14,0x050000,0x053fff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=aefc41c2e5ff3ba6363785c4293a05fa561ee2219b4e092eab234217a6cc703b; entropy=6.973823; unique_bytes=256; zero_bytes=2212; ff_bytes=122
0x15,0x054000,0x057fff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=9108dcfd4958b7b68441670e10e74da1e166065bb91da886aefae728ce1ce282; entropy=7.052608; unique_bytes=255; zero_bytes=707; ff_bytes=895
0x16,0x058000,0x05bfff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=b7978ff71510d1afefb482feb869280db0f00ede2d7a348d08dd1928b90f1dce; entropy=6.996369; unique_bytes=256; zero_bytes=750; ff_bytes=976
0x17,0x05c000,0x05ffff,0x4000,0x7fff,unclassified,fingerprinted,low,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,bank_sha256=577f100ddd5ffa3c7d4aaad2c7ede5de7a98252f0f88638b9f6f07a91ad5dc2a; entropy=6.981373; unique_bytes=256; zero_bytes=828; ff_bytes=915
