release,component,length,us_length,aligned_equal_bytes,replace_span,insert_span,delete_span
JP-REV0,vblank,478,478,400,68,10,10
JP-REV0,delay,21,21,17,4,0,0
JP-REV0,time_palettes,29,29,24,5,0,0
JP-REV0,fade,187,187,182,5,0,0
JP-REV0,lcd,64,64,64,0,0,0
JP-REV0,time,340,341,311,29,0,1
JP-REV0,init,250,250,231,19,0,0
JP-REVA,vblank,478,478,400,68,10,10
JP-REVA,delay,21,21,17,4,0,0
JP-REVA,time_palettes,29,29,24,5,0,0
JP-REVA,fade,187,187,182,5,0,0
JP-REVA,lcd,64,64,64,0,0,0
JP-REVA,time,340,341,311,29,0,1
JP-REVA,init,250,250,231,19,0,0
KR-REV0,vblank,478,478,395,92,0,0
KR-REV0,delay,21,21,19,2,0,0
KR-REV0,time_palettes,29,29,24,5,0,0
KR-REV0,fade,187,187,181,6,0,0
KR-REV0,lcd,68,64,62,2,5,0
KR-REV0,time,341,341,293,48,0,0
KR-REV0,init,228,250,192,27,11,36
US-EU-REV0,vblank,478,478,478,0,0,0
US-EU-REV0,delay,21,21,21,0,0,0
US-EU-REV0,time_palettes,29,29,29,0,0,0
US-EU-REV0,fade,187,187,187,0,0,0
US-EU-REV0,lcd,64,64,64,0,0,0
US-EU-REV0,time,341,341,341,0,0,0
US-EU-REV0,init,250,250,250,0,0,0
DE-REV0,vblank,478,478,458,20,0,0
DE-REV0,delay,21,21,21,0,0,0
DE-REV0,time_palettes,29,29,27,2,0,0
DE-REV0,fade,187,187,187,0,0,0
DE-REV0,lcd,64,64,64,0,0,0
DE-REV0,time,341,341,325,16,0,0
DE-REV0,init,250,250,240,10,0,0
FR-REV0,vblank,478,478,458,20,0,0
FR-REV0,delay,21,21,21,0,0,0
FR-REV0,time_palettes,29,29,27,2,0,0
FR-REV0,fade,187,187,187,0,0,0
FR-REV0,lcd,64,64,64,0,0,0
FR-REV0,time,341,341,328,13,0,0
FR-REV0,init,250,250,239,11,0,0
IT-REV0,vblank,478,478,458,20,0,0
IT-REV0,delay,21,21,21,0,0,0
IT-REV0,time_palettes,29,29,27,2,0,0
IT-REV0,fade,187,187,187,0,0,0
IT-REV0,lcd,64,64,64,0,0,0
IT-REV0,time,341,341,325,16,0,0
IT-REV0,init,250,250,240,10,0,0
ES-REV0,vblank,478,478,459,18,1,1
ES-REV0,delay,21,21,21,0,0,0
ES-REV0,time_palettes,29,29,27,2,0,0
ES-REV0,fade,187,187,187,0,0,0
ES-REV0,lcd,64,64,64,0,0,0
ES-REV0,time,341,341,325,16,0,0
ES-REV0,init,250,250,238,12,0,0
