release,component,start_hex,end_hex,length
JP-REV0,vblank,0x0150,0x032E,478
JP-REV0,delay,0x032E,0x0343,21
JP-REV0,time_palettes,0x0343,0x0360,29
JP-REV0,fade,0x0360,0x041B,187
JP-REV0,lcd,0x041B,0x045B,64
JP-REV0,time,0x045B,0x05AF,340
JP-REV0,init,0x05AF,0x06A9,250
JP-REV0,serial,0x06A9,0x08DE,565
JP-REV0,joypad,0x08DE,0x0AD9,507
JP-REVA,vblank,0x0150,0x032E,478
JP-REVA,delay,0x032E,0x0343,21
JP-REVA,time_palettes,0x0343,0x0360,29
JP-REVA,fade,0x0360,0x041B,187
JP-REVA,lcd,0x041B,0x045B,64
JP-REVA,time,0x045B,0x05AF,340
JP-REVA,init,0x05AF,0x06A9,250
JP-REVA,serial,0x06A9,0x08DE,565
JP-REVA,joypad,0x08DE,0x0AD9,507
KR-REV0,vblank,0x0150,0x032E,478
KR-REV0,delay,0x032E,0x0343,21
KR-REV0,time_palettes,0x0343,0x0360,29
KR-REV0,fade,0x0360,0x041B,187
KR-REV0,lcd,0x041B,0x045F,68
KR-REV0,time,0x045F,0x05B4,341
KR-REV0,init,0x05B4,0x0698,228
KR-REV0,serial,0x0698,0x08D2,570
KR-REV0,joypad,0x08D2,0x0AE3,529
US-EU-REV0,vblank,0x0150,0x032E,478
US-EU-REV0,delay,0x032E,0x0343,21
US-EU-REV0,time_palettes,0x0343,0x0360,29
US-EU-REV0,fade,0x0360,0x041B,187
US-EU-REV0,lcd,0x041B,0x045B,64
US-EU-REV0,time,0x045B,0x05B0,341
US-EU-REV0,init,0x05B0,0x06AA,250
US-EU-REV0,serial,0x06AA,0x08DF,565
US-EU-REV0,joypad,0x08DF,0x0AF0,529
DE-REV0,vblank,0x0150,0x032E,478
DE-REV0,delay,0x032E,0x0343,21
DE-REV0,time_palettes,0x0343,0x0360,29
DE-REV0,fade,0x0360,0x041B,187
DE-REV0,lcd,0x041B,0x045B,64
DE-REV0,time,0x045B,0x05B0,341
DE-REV0,init,0x05B0,0x06AA,250
DE-REV0,serial,0x06AA,0x08DF,565
DE-REV0,joypad,0x08DF,0x0AF0,529
FR-REV0,vblank,0x0150,0x032E,478
FR-REV0,delay,0x032E,0x0343,21
FR-REV0,time_palettes,0x0343,0x0360,29
FR-REV0,fade,0x0360,0x041B,187
FR-REV0,lcd,0x041B,0x045B,64
FR-REV0,time,0x045B,0x05B0,341
FR-REV0,init,0x05B0,0x06AA,250
FR-REV0,serial,0x06AA,0x08DF,565
FR-REV0,joypad,0x08DF,0x0AF0,529
IT-REV0,vblank,0x0150,0x032E,478
IT-REV0,delay,0x032E,0x0343,21
IT-REV0,time_palettes,0x0343,0x0360,29
IT-REV0,fade,0x0360,0x041B,187
IT-REV0,lcd,0x041B,0x045B,64
IT-REV0,time,0x045B,0x05B0,341
IT-REV0,init,0x05B0,0x06AA,250
IT-REV0,serial,0x06AA,0x08DF,565
IT-REV0,joypad,0x08DF,0x0AF0,529
ES-REV0,vblank,0x0150,0x032E,478
ES-REV0,delay,0x032E,0x0343,21
ES-REV0,time_palettes,0x0343,0x0360,29
ES-REV0,fade,0x0360,0x041B,187
ES-REV0,lcd,0x041B,0x045B,64
ES-REV0,time,0x045B,0x05B0,341
ES-REV0,init,0x05B0,0x06AA,250
ES-REV0,serial,0x06AA,0x08DF,565
ES-REV0,joypad,0x08DF,0x0AF0,529
