species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_sha256,compressed_size,decompressed_size,decompressed_2bpp_sha256
9,blastoise,front,JP-REV0,0x13,0x1F,0x42E4,0x07C2E4,e59e6b647b37383defcba998df5340dee428da6799795d153eba3315411566ff,582,784,1a9b1a74272e7cf89fb17bf5ad9c31946d13fa10cff182193cc9884d824cb109
9,blastoise,front,JP-REVA,0x13,0x1F,0x42E4,0x07C2E4,e59e6b647b37383defcba998df5340dee428da6799795d153eba3315411566ff,582,784,1a9b1a74272e7cf89fb17bf5ad9c31946d13fa10cff182193cc9884d824cb109
9,blastoise,front,KR-REV0,0x13,0x1F,0x42E4,0x07C2E4,e59e6b647b37383defcba998df5340dee428da6799795d153eba3315411566ff,582,784,1a9b1a74272e7cf89fb17bf5ad9c31946d13fa10cff182193cc9884d824cb109
9,blastoise,front,US-EU-REV0,0x13,0x1F,0x42E4,0x07C2E4,e59e6b647b37383defcba998df5340dee428da6799795d153eba3315411566ff,582,784,1a9b1a74272e7cf89fb17bf5ad9c31946d13fa10cff182193cc9884d824cb109
9,blastoise,front,DE-REV0,0x13,0x1F,0x42E4,0x07C2E4,e59e6b647b37383defcba998df5340dee428da6799795d153eba3315411566ff,582,784,1a9b1a74272e7cf89fb17bf5ad9c31946d13fa10cff182193cc9884d824cb109
9,blastoise,front,FR-REV0,0x13,0x1F,0x42E4,0x07C2E4,e59e6b647b37383defcba998df5340dee428da6799795d153eba3315411566ff,582,784,1a9b1a74272e7cf89fb17bf5ad9c31946d13fa10cff182193cc9884d824cb109
9,blastoise,front,IT-REV0,0x13,0x1F,0x42E4,0x07C2E4,e59e6b647b37383defcba998df5340dee428da6799795d153eba3315411566ff,582,784,1a9b1a74272e7cf89fb17bf5ad9c31946d13fa10cff182193cc9884d824cb109
9,blastoise,front,ES-REV0,0x13,0x1F,0x42E4,0x07C2E4,e59e6b647b37383defcba998df5340dee428da6799795d153eba3315411566ff,582,784,1a9b1a74272e7cf89fb17bf5ad9c31946d13fa10cff182193cc9884d824cb109
9,blastoise,back,JP-REV0,0x19,0x19,0x7BA3,0x067BA3,592e006b85bdea8b2fe160de85434f2f09fe868a00356b86867b41450d420eac,363,576,75140cb356fe2549bfab4e206dc0cb38cd7043ceaea14989cbd7131f0bfb31df
9,blastoise,back,JP-REVA,0x19,0x19,0x7BA3,0x067BA3,592e006b85bdea8b2fe160de85434f2f09fe868a00356b86867b41450d420eac,363,576,75140cb356fe2549bfab4e206dc0cb38cd7043ceaea14989cbd7131f0bfb31df
9,blastoise,back,KR-REV0,0x19,0x19,0x7BA3,0x067BA3,592e006b85bdea8b2fe160de85434f2f09fe868a00356b86867b41450d420eac,363,576,75140cb356fe2549bfab4e206dc0cb38cd7043ceaea14989cbd7131f0bfb31df
9,blastoise,back,US-EU-REV0,0x19,0x19,0x7B9F,0x067B9F,592e006b85bdea8b2fe160de85434f2f09fe868a00356b86867b41450d420eac,363,576,75140cb356fe2549bfab4e206dc0cb38cd7043ceaea14989cbd7131f0bfb31df
9,blastoise,back,DE-REV0,0x19,0x19,0x7B9F,0x067B9F,592e006b85bdea8b2fe160de85434f2f09fe868a00356b86867b41450d420eac,363,576,75140cb356fe2549bfab4e206dc0cb38cd7043ceaea14989cbd7131f0bfb31df
9,blastoise,back,FR-REV0,0x19,0x19,0x7B9F,0x067B9F,592e006b85bdea8b2fe160de85434f2f09fe868a00356b86867b41450d420eac,363,576,75140cb356fe2549bfab4e206dc0cb38cd7043ceaea14989cbd7131f0bfb31df
9,blastoise,back,IT-REV0,0x19,0x19,0x7B9F,0x067B9F,592e006b85bdea8b2fe160de85434f2f09fe868a00356b86867b41450d420eac,363,576,75140cb356fe2549bfab4e206dc0cb38cd7043ceaea14989cbd7131f0bfb31df
9,blastoise,back,ES-REV0,0x19,0x19,0x7B9F,0x067B9F,592e006b85bdea8b2fe160de85434f2f09fe868a00356b86867b41450d420eac,363,576,75140cb356fe2549bfab4e206dc0cb38cd7043ceaea14989cbd7131f0bfb31df
